longitude,latitude,avgA,stdA,avgB,stdB,avgC,stdC,avgT,stdT,avgX,stdX,avgY,stdY,avgZ,stdZ
-5.0,-10.0,352,0.0,445,3.46410161514,539,4.89897948557,33053,16410.4253144,548,2.44948974278,504,1.41421356237,768,0.0
-5.0,-5.0,352,0.0,444,3.16227766017,539,5.0,37092,17984.4701062,549,1.73205080757,504,1.0,768,0.0
-5.0,0.0,352,0.0,444,3.16227766017,539,5.19615242271,27308,16677.6312467,571,1.73205080757,503,2.82842712475,770,1.73205080757
-5.0,5.0,352,0.0,444,2.82842712475,539,4.69041575982,29331,16677.6312467,592,2.64575131106,504,2.82842712475,772,1.73205080757
-5.0,10.0,352,0.0,445,3.16227766017,537,2.44948974278,33021,20857.8357219,615,0.0,505,1.73205080757,772,1.41421356237
-2.5,-10.0,352,0.0,445,3.46410161514,539,5.19615242271,41507,17984.4701062,571,2.44948974278,494,2.0,770,1.0
-2.5,-5.0,352,0.0,446,2.0,536,0.0,32149,20293.6286307,593,1.41421356237,492,2.82842712475,773,1.73205080757
-2.5,0.0,352,0.0,445,3.31662479036,539,5.29150262213,31886,20857.4784909,617,3.0,493,2.44948974278,771,2.0
-2.5,5.0,352,0.0,444,2.82842712475,539,4.472135955,29578,16410.5084626,638,1.73205080757,493,3.16227766017,770,2.2360679775
-2.5,10.0,352,0.0,445,2.2360679775,539,4.24264068712,33285,20857.8357219,639,2.2360679775,503,1.73205080757,769,1.41421356237
0.0,-10.0,352,0.0,444,2.82842712475,539,4.79583152331,31259,16410.5084626,548,2.0,494,1.73205080757,768,1.0
0.0,-5.0,352,0.0,447,1.73205080757,536,1.0,40886,17984.4701062,548,2.64575131106,481,2.0,768,0.0
0.0,0.0,352,0.0,446,2.0,536,1.0,36109,16404.9214872,570,2.2360679775,481,2.0,771,2.0
0.0,5.0,352,0.0,445,3.46410161514,538,4.12310562562,36343,17984.4701062,594,3.31662479036,481,1.41421356237,772,1.73205080757
0.0,10.0,352,3.16227766017,444,2.44948974278,538,4.12310562562,30111,20857.4784909,638,3.16227766017,481,3.87298334621,771,6.5574385243
2.5,-10.0,353,7.14142842854,444,8.18535277187,539,4.24264068712,29386,16677.6312467,542,20.0499376558,472,10.8627804912,772,35.1710107901
2.5,-5.0,353,13.4536240471,439,10.0995049384,539,4.12310562562,31790,16678.0031479,561,20.0997512422,472,12.2474487139,781,36.3730669589
2.5,0.0,352,6.78232998313,438,14.1774468788,539,5.56776436283,34811,16677.6312467,591,9.21954445729,472,7.4161984871,774,9.8488578018
2.5,5.0,351,4.89897948557,444,5.47722557505,536,0.0,39451,17984.4701062,612,9.59166304663,472,8.48528137424,772,14.6969384567
2.5,10.0,351,8.54400374532,444,4.24264068712,537,3.46410161514,38624,20293.912437,641,7.61577310586,473,12.0830459736,768,15.3622914957
5.0,-10.0,351,18.7082869339,445,4.35889894354,535,1.41421356237,24746,17984.4701062,551,7.28010988928,467,24.6779253585,761,36.2491379208
5.0,-5.0,349,9.32737905309,454,11.0,537,3.0,36490,20857.8357219,578,11.7898261226,460,11.1355287257,766,20.0499376558
5.0,0.0,353,6.78232998313,448,10.8627804912,539,4.12310562562,37311,20292.9923619,597,14.3874945699,460,5.09901951359,765,18.3575597507
5.0,5.0,352,5.74456264654,445,6.92820323028,539,5.09901951359,25998,16678.0031479,615,13.1909059583,458,7.21110255093,775,7.07106781187
5.0,10.0,349,5.29150262213,541,53.712196008,536,0.0,32280,20293.6286307,647,24.4948974278,456,9.59166304663,758,25.4165300543
